Region,Region #,% 5+ A*-C,% 5+ A*-C inc Eng & Maths GCSE,% 5+ A*-G,% 5+ A*-G inc Eng & Maths GCSE,GCSE or Equv. Maths & English % entered,GCSE or Equv. Maths & English A*-C % achieved,% 5+ A*-G excl Eng & Maths GCSE,% 5+ A*-C excl Eng & Maths GCSE,IMD - Average score,IMD - Extent,Income - Average score,Employment - Average score,"Education, Skills and Training - Average score",Health Deprivation and Disability - Average score,Crime - Average score,Barriers to Housing and Services - Average score,Living Environment - Average score
County Durham,E06000047,65.1,55.1,93.3,91.1,95.6,57.6,2.200000000000003,9.999999999999993,25.741,0.2646,0.178,0.168,23.093,0.766,-0.172,17.605,6.077
Darlington,E06000005,62.2,52.5,93.6,90.2,95.5,55.9,3.3999999999999915,9.700000000000003,23.639,0.2438,0.168,0.15,22.569,0.502,0.224,12.346,10.71
Gateshead,E08000037,67.6,58.1,92.6,90.1,95.4,60.2,2.5,9.499999999999993,25.932,0.2735,0.185,0.165,26.145,0.779,-0.301,18.009,8.557
Hartlepool,E06000001,63.7,53.4,94.0,90.8,95.7,55.8,3.200000000000003,10.300000000000004,33.178,0.4589,0.239,0.211,30.51,0.929,0.078,13.128,8.26
Middlesbrough,E06000002,60.5,46.1,92.0,88.6,93.3,48.1,3.4000000000000057,14.399999999999999,40.216,0.5604,0.268,0.216,40.64,1.195,0.633,18.316,12.907
Newcastle upon Tyne,E08000021,62.9,55.7,91.7,88.9,92.4,59.1,2.799999999999997,7.199999999999996,28.264,0.3496,0.194,0.148,29.577,0.777,-0.056,18.448,13.11
North Tyneside,E08000022,72.0,62.0,96.1,94.2,96.6,64.1,1.8999999999999915,10.0,21.279,0.2001,0.163,0.143,20.475,0.538,-0.68,15.174,9.515
Northumberland,E06000057,65.0,56.9,94.0,92.2,96.2,59.6,1.7999999999999972,8.100000000000001,20.525,0.1782,0.137,0.134,22.143,0.16,-0.804,23.816,11.249
Redcar and Cleveland,E06000003,62.7,54.3,93.3,89.8,95.8,57.0,3.5,8.400000000000006,28.567,0.3394,0.204,0.186,27.875,0.752,-0.013,12.863,7.923
South Tyneside,E08000023,66.1,57.7,95.8,94.3,97.1,60.5,1.5,8.399999999999991,30.608,0.4319,0.223,0.198,25.745,0.944,-0.254,21.056,7.355
